                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.2613,                0.77233,                 1.1701,                0.82641,                0.85186,                0.87537,                0.46094,                 1.5945,                0.80914,                 1.3674,              5.169e-05,              5.169e-05,              5.169e-05
                     58,                 1.2602,                0.77344,                 1.1682,                0.81666,                0.86574,                0.87586,                0.46872,                  1.573,                0.79988,                 1.3582,             5.0541e-05,             5.0541e-05,             5.0541e-05
                     59,                 1.2579,                0.77997,                   1.17,                0.83702,                0.85254,                 0.8838,                0.47213,                  1.565,                0.79701,                 1.3518,             4.9393e-05,             4.9393e-05,             4.9393e-05
                     60,                 1.2609,                0.77949,                   1.16,                0.83145,                0.85509,                0.87681,                0.46735,                 1.5651,                0.79009,                 1.3646,             4.8244e-05,             4.8244e-05,             4.8244e-05
                     61,                 1.2506,                0.76676,                 1.1623,                0.84807,                0.84029,                 0.8859,                0.46742,                 1.5632,                0.79989,                 1.3552,             4.7096e-05,             4.7096e-05,             4.7096e-05
                     62,                 1.2498,                0.76075,                 1.1572,                0.83137,                0.86128,                0.87597,                0.46051,                 1.5817,                0.79896,                 1.3732,             4.5948e-05,             4.5948e-05,             4.5948e-05
                     63,                 1.2509,                0.76893,                 1.1618,                0.84683,                0.85004,                0.87874,                 0.4616,                 1.5767,                0.79957,                 1.3635,             4.4799e-05,             4.4799e-05,             4.4799e-05
                     64,                 1.2368,                0.77106,                 1.1528,                0.84565,                0.84157,                0.88062,                0.46406,                 1.5675,                0.79638,                 1.3585,             4.3651e-05,             4.3651e-05,             4.3651e-05
                     65,                  1.242,                0.75566,                 1.1508,                0.81999,                0.86113,                0.87502,                0.46445,                 1.5611,                0.78961,                 1.3621,             4.2502e-05,             4.2502e-05,             4.2502e-05
                     66,                 1.2307,                0.74258,                 1.1425,                0.79902,                0.88339,                 0.8749,                0.46427,                 1.5621,                0.79331,                 1.3599,             4.1354e-05,             4.1354e-05,             4.1354e-05
                     67,                 1.2233,                0.74321,                 1.1445,                0.80877,                0.88773,                0.88123,                0.46919,                 1.5642,                0.79056,                  1.364,             4.0206e-05,             4.0206e-05,             4.0206e-05
                     68,                 1.2261,                0.75067,                 1.1472,                0.84097,                0.85462,                 0.8825,                 0.4713,                 1.5615,                0.80118,                 1.3582,             3.9057e-05,             3.9057e-05,             3.9057e-05
